SHA256,Category,accelerometer,accelerometer_uncalibrated,ambient_temperature,device_private_base,game_rotation_vector,geomagnetic_rotation_vector,gravity,gyroscope,gyroscope_uncalibrated,heart_beat,heart_rate,hinge_angle,light,linear_acceleration,low_latency_offbody_detect,magnetic_field,magnetic_field_uncalibrated,motion_detect,orientation,pose_6dof,pressure,proximity,relative_humidity,rotation_vector,significant_motion,stationary_detect,step_counter,step_detector,temperature
2BAC2657E8B702CD6360EE7B94019C56DF49AD8AB1FD1FB369F586A8E87C20BB,Malware,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
AF177BFCA85D92293D15A549E189D9CC2B53FFD4714951D3D52ABF7154446F24,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2BC027E1A0D19AA652D269336F7BA3821B9CBE3BAB6065151F59E35B47A9F4DC,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B9C0CA7852E83ABC226FDE0BCAB5E06BDA2E1B658421D0E41A1D82AF32FF9D82,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E9CB7A8ECC6F4C1728C6661A904B5AFA44ABD3703CE08E55421F99E265F4EB61,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
735BDDF240B5D135C042F868E49D8FD2625DA856789C8E7944697D06C1055EA2,Malware,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
9DC260565ED20E2D89393AF0BDD697349914999A195E3EB7FD0EEF9CE56A8FEE,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EB82356DECF900B24399A3B4C221F7A8016E829DF6B793E02DA2EACA5F434CA5,Malware,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
120F384AE1DBB60CFCFAC4A8584C8CAB6F4C589EDD84F634AE6367785EA4BDFA,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F6ED21687153F95EBE73AFE7B19AF8457C65FD7639E824098959536AB337B530,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F85D1643006C3D24C8E06DDB2D75BFEF93DD3723C385B5F1F71DD7F646AFFF08,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68FB7647210544694A494C12B604077383BA6BD82A56E123462B8C4180ACA9C9,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AD00C48451B2C475C501DFBE6A80E06922A5D61ECB9557FE71BE53887886D7A9,Malware,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
B9C0A82E7D21C7667ADD1D5D1FE222412F8D1C9CC2A5B1B4D4034170F82F0A39,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20EF96A7A2AFB1F17B49F2A0501FCD94FEE510CBDD0DED6E47A62F19CE942B5F,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5E627BC7DA89597360F9C468F2479DD77895B43AABEEFC5CB27E2B70457B354F,Malware,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
BD918721F599A28EBF0E056F9AE433BF45D1CFFB291594D3E5EF9ECB5C6C09C6,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AB5A04ECDDA3A930F8B3865A85BDA22B12E02A85EE4F0F7A8A04FF741D8FABFC,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E5C0C237B075A7C53399AD69E942BA31F7676C0CF1023720B6CFAF595A1CEB24,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FEF192F3A1F2F22ABDD08E3DD30B0F79E4BC1BCFBBB74695DBA4FA5F4C552598,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81113C0886E4867C96E5ACC9FF3D7BF6E213C83681556188AF64C1354DBCC945,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A862015D090C4C997321D4DA038C255BC4F3F448337E10DF1A4E346118F78C10,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236A437739BD843A21D854320BC2546C360FB41E476E0B758A2383762439BA98,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67739D6CCF5F40C16F91F183BE3A866FDD49B5F15D7CA62E21FD6134FDF489E4,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F6789D09B53A51A8389B480FA43D2331177CA547107D0D588C6CA5C1A4796207,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C9FF970C4ED7910C46F7F325126A2E14758DB6BF4EF1ADFDEDEB8DA624C6F094,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
611B71FE07AEFCB46CE549826812C18D527E5D565A907FE69E1DA2585C34DC61,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260C16121C7436093EA2D7DE985DB5D9DCA8409976F09BDFE05656AA68226632,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66D5513A6F4EF52E1053D9A56B1F40FC6A2A0F1BEECABA21B8DF7CE5BAB608C6,Malware,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9C3BA6E401C4D4702A12097F9A713E2484BF2C690BDF98C80A9672697F53E0AF,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5866258F453C14A39A06C1FA0817EAA8CE30112DB2E47AAA820F5020065BA497,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12471D98E8E35EDE7D92D0E34ACA5DD91447F68B23657EE59C9A4362B8A53FAE,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3B18C3013F8EB326A051BC4CD9D36C4DB799A855EF8CE2EA1C8E02C7E8FB67B0,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2486E722FDB3ADE263AD616604C29DD21A7D45F92A54F4BFCF3A19474FCF4EB5,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FE603DE4EB441E1A66F3C80AC09A8A06AC82598E1B25E780706A4B194BA9651C,Malware,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E7480FDFA77C19E4721A6B2AD5056C6DE32E6E9F1C7D66001E0F8D3D7CCAF146,Malware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
